corpus,meta,frame,frame_label,n_present,n_applicable,pct,alpha,tier
climate,"Industries, Markets & Technologies",deservingness,Deservingness,7,66,10.6061,0.687,clears
climate,"Industries, Markets & Technologies",responsibility,Responsibility,61,66,92.4242,0.318,structural
climate,"Industries, Markets & Technologies",scientific,Scientific,33,66,50.0,0.751,clears
climate,"Industries, Markets & Technologies",crisis,Crisis,33,66,50.0,0.516,unresolved
climate,"Industries, Markets & Technologies",solutions,Solutions,60,66,90.9091,0.371,unresolved
climate,"Industries, Markets & Technologies",victim,Victim,17,66,25.7576,0.762,clears
climate,"Industries, Markets & Technologies",skepticism,Skepticism,19,66,28.7879,0.554,structural
climate,"Industries, Markets & Technologies",securitization,Securitization,27,66,40.9091,0.382,structural
climate,"Industries, Markets & Technologies",othering,Othering,5,66,7.5758,0.335,structural
climate,"Industries, Markets & Technologies",agency,Agency,65,66,98.4848,-0.03,structural
climate,"Biodiversity, Nature & Science",conflict,Conflict,42,66,63.6364,0.504,structural
climate,"Biodiversity, Nature & Science",human_interest,Human Interest,23,66,34.8485,0.665,clears
climate,"Biodiversity, Nature & Science",economic,Economic,37,66,56.0606,0.719,clears
climate,"Biodiversity, Nature & Science",deservingness,Deservingness,3,66,4.5455,0.687,clears
climate,"Biodiversity, Nature & Science",responsibility,Responsibility,58,66,87.8788,0.318,structural
climate,"Biodiversity, Nature & Science",scientific,Scientific,49,66,74.2424,0.751,clears
climate,"Biodiversity, Nature & Science",crisis,Crisis,34,66,51.5152,0.516,unresolved
climate,"Biodiversity, Nature & Science",solutions,Solutions,51,66,77.2727,0.371,unresolved
climate,"Biodiversity, Nature & Science",victim,Victim,16,66,24.2424,0.762,clears
climate,"Biodiversity, Nature & Science",skepticism,Skepticism,18,66,27.2727,0.554,structural
climate,"Biodiversity, Nature & Science",securitization,Securitization,30,66,45.4545,0.382,structural
climate,"Biodiversity, Nature & Science",othering,Othering,2,66,3.0303,0.335,structural
climate,"Biodiversity, Nature & Science",agency,Agency,65,66,98.4848,-0.03,structural
climate,Combustion Fuels & Natural Resources,conflict,Conflict,41,47,87.234,0.504,structural
climate,Combustion Fuels & Natural Resources,human_interest,Human Interest,9,47,19.1489,0.665,clears
climate,Combustion Fuels & Natural Resources,economic,Economic,42,47,89.3617,0.719,clears
climate,Combustion Fuels & Natural Resources,deservingness,Deservingness,3,47,6.383,0.687,clears
climate,Combustion Fuels & Natural Resources,responsibility,Responsibility,45,47,95.7447,0.318,structural
