corpus,year,frame,frame_label,pct,n_present,n_applicable
migration,2014,securitization,Securitization,17.7778,16,90
migration,2015,securitization,Securitization,33.3333,86,258
migration,2016,securitization,Securitization,25.7384,61,237
migration,2017,securitization,Securitization,23.2877,34,146
migration,2018,securitization,Securitization,21.8935,37,169
migration,2019,securitization,Securitization,22.4299,48,214
migration,2020,securitization,Securitization,17.0648,50,293
migration,2021,securitization,Securitization,27.758,78,281
migration,2022,securitization,Securitization,19.4888,122,626
migration,2023,securitization,Securitization,13.1024,87,664
