corpus,outlet_clean,frame,frame_label,pct,n_present,n_applicable
migration,NRC,othering,Othering,57.5581,99,172
migration,NRC,agency,Agency,99.4186,171,172
migration,Telegraaf,conflict,Conflict,85.8268,436,508
migration,Telegraaf,human_interest,Human Interest,33.6614,171,508
migration,Telegraaf,economic,Economic,36.4173,185,508
migration,Telegraaf,deservingness,Deservingness,56.2992,286,508
migration,Telegraaf,responsibility,Responsibility,85.2362,433,508
migration,Telegraaf,humanitarian,Humanitarian,34.8425,177,508
migration,Telegraaf,security,Security,58.6614,298,508
migration,Telegraaf,policy,Policy,85.6299,435,508
migration,Telegraaf,securitization,Securitization,31.1024,158,508
migration,Telegraaf,othering,Othering,69.2913,352,508
migration,Telegraaf,agency,Agency,98.4252,500,508
migration,Trouw,conflict,Conflict,87.0287,577,663
migration,Trouw,human_interest,Human Interest,52.0362,345,663
migration,Trouw,economic,Economic,32.73,217,663
migration,Trouw,deservingness,Deservingness,58.371,387,663
migration,Trouw,responsibility,Responsibility,81.2971,539,663
migration,Trouw,humanitarian,Humanitarian,60.4827,401,663
migration,Trouw,security,Security,40.2715,267,663
migration,Trouw,policy,Policy,87.7828,582,663
migration,Trouw,securitization,Securitization,25.7919,171,663
migration,Trouw,othering,Othering,58.0694,385,663
migration,Trouw,agency,Agency,99.095,657,663
migration,Volkskrant,conflict,Conflict,86.4341,223,258
migration,Volkskrant,human_interest,Human Interest,50.3876,130,258
migration,Volkskrant,economic,Economic,37.9845,98,258
migration,Volkskrant,deservingness,Deservingness,62.7907,162,258
migration,Volkskrant,responsibility,Responsibility,87.5969,226,258
migration,Volkskrant,humanitarian,Humanitarian,64.7287,167,258
migration,Volkskrant,security,Security,38.3721,99,258
migration,Volkskrant,policy,Policy,89.9225,232,258
migration,Volkskrant,securitization,Securitization,25.1938,65,258
migration,Volkskrant,othering,Othering,64.3411,166,258
migration,Volkskrant,agency,Agency,98.8372,255,258
