corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
migration,2021,humanitarian,Humanitarian,Volkskrant,by_outlet,74.1379,43,58
migration,2022,humanitarian,Humanitarian,Volkskrant,by_outlet,78.5714,55,70
migration,2023,humanitarian,Humanitarian,Volkskrant,by_outlet,48.1481,26,54
migration,2015,security,Security,Volkskrant,by_outlet,0.0,0,1
migration,2018,security,Security,Volkskrant,by_outlet,0.0,0,1
migration,2019,security,Security,Volkskrant,by_outlet,58.3333,14,24
migration,2020,security,Security,Volkskrant,by_outlet,36.0,18,50
migration,2021,security,Security,Volkskrant,by_outlet,41.3793,24,58
migration,2022,security,Security,Volkskrant,by_outlet,24.2857,17,70
migration,2023,security,Security,Volkskrant,by_outlet,48.1481,26,54
migration,2015,policy,Policy,Volkskrant,by_outlet,100.0,1,1
migration,2018,policy,Policy,Volkskrant,by_outlet,100.0,1,1
migration,2019,policy,Policy,Volkskrant,by_outlet,87.5,21,24
migration,2020,policy,Policy,Volkskrant,by_outlet,88.0,44,50
migration,2021,policy,Policy,Volkskrant,by_outlet,87.931,51,58
migration,2022,policy,Policy,Volkskrant,by_outlet,88.5714,62,70
migration,2023,policy,Policy,Volkskrant,by_outlet,96.2963,52,54
migration,2015,securitization,Securitization,Volkskrant,by_outlet,0.0,0,1
migration,2018,securitization,Securitization,Volkskrant,by_outlet,100.0,1,1
migration,2019,securitization,Securitization,Volkskrant,by_outlet,25.0,6,24
migration,2020,securitization,Securitization,Volkskrant,by_outlet,26.0,13,50
migration,2021,securitization,Securitization,Volkskrant,by_outlet,34.4828,20,58
migration,2022,securitization,Securitization,Volkskrant,by_outlet,18.5714,13,70
migration,2023,securitization,Securitization,Volkskrant,by_outlet,22.2222,12,54
migration,2015,othering,Othering,Volkskrant,by_outlet,100.0,1,1
migration,2018,othering,Othering,Volkskrant,by_outlet,100.0,1,1
migration,2019,othering,Othering,Volkskrant,by_outlet,70.8333,17,24
migration,2020,othering,Othering,Volkskrant,by_outlet,64.0,32,50
migration,2021,othering,Othering,Volkskrant,by_outlet,53.4483,31,58
migration,2022,othering,Othering,Volkskrant,by_outlet,60.0,42,70
migration,2023,othering,Othering,Volkskrant,by_outlet,77.7778,42,54
migration,2015,agency,Agency,Volkskrant,by_outlet,100.0,1,1
migration,2018,agency,Agency,Volkskrant,by_outlet,100.0,1,1
migration,2019,agency,Agency,Volkskrant,by_outlet,100.0,24,24
migration,2020,agency,Agency,Volkskrant,by_outlet,100.0,50,50
migration,2021,agency,Agency,Volkskrant,by_outlet,96.5517,56,58
migration,2022,agency,Agency,Volkskrant,by_outlet,98.5714,69,70
migration,2023,agency,Agency,Volkskrant,by_outlet,100.0,54,54
