prompt_variant,run,is_primary,n_cells,pooled_raw_agreement,pooled_cohens_kappa,pooled_krippendorff_alpha,pooled_human_yes_rate,pooled_llm_yes_rate,macro_mean_raw_agreement,macro_mean_cohens_kappa,macro_mean_krippendorff_alpha
A,1,True,1155,0.8233766233766234,0.6509240246406572,0.6451609987163494,0.4701298701298701,0.6,0.816025641025641,0.5488412397979386,0.529799659630795
A,2,False,1155,0.8216450216450216,0.6474296281807351,0.641768540666253,0.4701298701298701,0.5982683982683983,0.8177083333333334,0.5469752198404293,0.5308247262318736
A,3,False,1155,0.819047619047619,0.6425509419881035,0.6362351493899199,0.4701298701298701,0.6043290043290044,0.8134294871794872,0.5424429409746734,0.5238997026949003
B,1,True,1155,0.812987012987013,0.6306921635328496,0.6239028009869512,0.4701298701298701,0.606926406926407,0.8150160256410256,0.4971136986480248,0.47589565606789
B,2,False,1155,0.8043290043290043,0.6137523860256582,0.6062747476942392,0.4701298701298701,0.6103896103896104,0.8065705128205128,0.4761069752502807,0.4547504577526892
B,3,False,1155,0.8164502164502164,0.6376792293692014,0.6306648075715873,0.4701298701298701,0.6103896103896104,0.817724358974359,0.5048654069328049,0.48528538664765475
